PosX,PosZ,Luminance
0.750,-0.750,0.6544
0.750,-1.250,0.4283
-2.240,-0.750,0.2610
-2.240,-1.250,0.2321
1.250,-0.750,0.4278
1.250,-1.250,0.3363
2.250,-0.750,0.2614
2.250,-1.250,0.2319
1.750,-0.750,0.3143
1.750,-1.250,0.2709
-1.750,-0.750,0.3154
-1.750,-1.250,0.2708
0.250,-0.750,1.0210
0.250,-1.250,0.5090
-1.250,-0.750,0.4275
-1.250,-1.250,0.3376
-0.250,-0.750,1.0216
-0.250,-1.250,0.5108
-0.750,-0.750,0.6539
-0.750,-1.250,0.4275
0.750,-1.750,0.3144
0.750,-2.250,0.2614
-2.240,-1.750,0.2001
-2.240,-2.250,0.1728
1.250,-1.750,0.2702
1.250,-2.250,0.2313
2.250,-1.750,0.2003
2.250,-2.250,0.1713
1.750,-1.750,0.2311
1.750,-2.250,0.1997
-1.750,-1.750,0.2306
-1.750,-2.250,0.1996
0.250,-1.750,0.3452
0.250,-2.250,0.2794
-1.250,-1.750,0.2708
-1.250,-2.250,0.2324
-0.250,-1.750,0.3454
-0.250,-2.250,0.2792
-0.750,-1.750,0.3133
-0.750,-2.250,0.2615
0.750,2.250,0.2613
0.750,1.750,0.3143
-2.240,2.250,0.1717
-2.240,1.750,0.2001
1.250,2.250,0.2304
1.250,1.750,0.2701
2.250,2.250,0.1713
2.250,1.750,0.2010
1.750,2.250,0.1990
1.750,1.750,0.2297
-1.750,2.250,0.2007
-1.750,1.750,0.2301
0.250,2.250,0.2802
0.250,1.750,0.3444
-1.250,2.250,0.2308
-1.250,1.750,0.2708
-0.250,2.250,0.2791
-0.250,1.750,0.3451
-0.750,2.250,0.2603
-0.750,1.750,0.3151
0.750,1.250,0.4264
0.750,0.750,0.6545
-2.240,1.250,0.2313
-2.240,0.750,0.2609
1.250,1.250,0.3362
1.250,0.750,0.4281
2.250,1.250,0.2318
2.250,0.750,0.2610
1.750,1.250,0.2708
1.750,0.750,0.3146
-1.750,1.250,0.2718
-1.750,0.750,0.3148
0.250,1.250,0.5105
0.250,0.750,1.0221
-1.250,1.250,0.3364
-1.250,0.750,0.4272
-0.250,1.250,0.5097
-0.250,0.750,1.0206
-0.750,1.250,0.4269
-0.750,0.750,0.6546
0.750,0.250,1.0212
0.750,-0.250,1.0207
-2.240,0.250,0.2808
-2.240,-0.250,0.2807
1.250,0.250,0.5100
1.250,-0.250,0.5095
2.250,0.250,0.2792
2.250,-0.250,0.2795
1.750,0.250,0.3448
1.750,-0.250,0.3453
-1.750,0.250,0.3453
-1.750,-0.250,0.3455
0.250,0.250,4.2411
0.250,-0.250,4.2411
-1.250,0.250,0.5108
-1.250,-0.250,0.5103
-0.250,0.250,4.2412
-0.250,-0.250,4.2423
-0.750,0.250,1.0216
-0.750,-0.250,1.0219
