Light Intensity,Light Indirect Multiplier,Range,CV,UniformityRatio (Min/Max)
2,1,5,1.5571,0.0311
2,1,10,1.4779,0.0398
2,1,15,1.4738,0.0403
2,1,20,1.4733,0.0404
2,1,25,1.4757,0.0403
2,1,30,1.4733,0.0404
2,1,35,1.478,0.0402
2,1,40,1.4734,0.0404
2,1,45,1.4737,0.0404
2,1,50,1.4811,0.0401
2,1,55,1.4885,0.0398
2,1,60,1.4736,0.0404
2,1,65,1.4952,0.0396
2,1,70,1.4842,0.04
2,1,75,1.4928,0.0396
2,1,80,1.5073,0.0391
2,1,85,1.4973,0.0394
2,1,90,1.4742,0.0404
2,1,95,1.5093,0.039
2,1,100,1.5291,0.0383
,,,,
,,,,
,,Range,UniformityRatio (Min/Max),
,,5,0.0311,
,,10,0.0398,
,,15,0.0403,
,,20,0.0404,
,,25,0.0403,
,,30,0.0404,
,,35,0.0402,
,,40,0.0404,
,,45,0.0404,
,,50,0.0401,
,,55,0.0398,
,,60,0.0404,
,,65,0.0396,
,,70,0.04,
,,75,0.0396,
,,80,0.0391,
,,85,0.0394,
,,90,0.0404,
,,95,0.039,
,,100,0.0383,
